,V1,V2,V3,V4,V5,V6,titles
1,0.052139888,0.005037907,0.005184642,0.002983615,0.930349719,0.004304231,Mahendra Singh Dhoni
2,0.102719635,0.003872989,0.005496227,0.00891357,0.873159618,0.005837961,Sachin Tendulkar
3,0.011731805,0.035468249,0.005183821,0.010094809,0.929063502,0.008457813,Saina Nehwal
4,0.024739583,0.062825521,0.031575521,0.053059896,0.805989583,0.021809896,Sardara Singh
5,0.076982421,0.904474569,0.005483,0.003168568,0.006557558,0.003333884,Michael Phelps
6,0.361881233,0.008875469,0.008051972,0.012169457,0.011071461,0.597950407,The Prestige (film)
7,0.891535384,0.003594649,0.024131033,0.00500125,0.008752188,0.066985496,Avatar (2009 film)
8,0.484252345,0.005073712,0.020869232,0.005504499,0.004212139,0.480088072,Interstellar (film)
9,0.460840698,0.007060364,0.014354514,0.005377098,0.00677982,0.505587506,Inception
10,0.406004444,0.003793421,0.012409906,0.004443722,0.003630846,0.569717661,Iron Man (2008 film)
11,0.05020432,0.021307647,0.034442499,0.854932866,0.021307647,0.01780502,Paneer
12,0.119925512,0.033333333,0.104003724,0.727188082,0.007914339,0.007635009,Pizza
13,0.026138971,0.008439856,0.027859718,0.907653228,0.020730908,0.009177319,Biryani
14,0.077002584,0.014018088,0.111692506,0.778165375,0.010723514,0.008397933,Pasta
15,0.017394949,0.010793252,0.010478885,0.93440218,0.017080583,0.009850152,Roti
16,0.032840289,0.008011974,0.050537066,0.882549745,0.011181546,0.01487938,Bharatanatyam
17,0.045974113,0.010169776,0.032610523,0.889141032,0.006135485,0.01596907,Kuchipudi
18,0.145369474,0.007421749,0.121652146,0.665698612,0.01565021,0.044207809,Ballet
19,0.076675711,0.016983218,0.044116169,0.80383881,0.031755602,0.026630489,Yakshagana
20,0.034211743,0.01285252,0.023116043,0.903559871,0.006195099,0.020064725,Kathak
21,0.874879395,0.009301069,0.046003628,0.00328046,0.013237621,0.053297827,Harry Potter
22,0.220478326,0.007473842,0.038723842,0.009996263,0.005511958,0.71781577,Nancy Drew
23,0.256036299,0.012234646,0.054286177,0.618214228,0.011019284,0.048209366,Panchatantra
24,0.182228474,0.008498916,0.030127191,0.729089737,0.019752652,0.03030303,Ramayana
25,0.270402868,0.006604397,0.04283423,0.081611473,0.010567035,0.587979998,As You Like It
26,0.132570092,0.014171749,0.822594255,0.005254478,0.01428681,0.011122617,France
27,0.073685897,0.010224359,0.715705128,0.096858974,0.097820513,0.005705128,India
28,0.185062145,0.020891181,0.77867579,0.004479043,0.003487373,0.007404469,United States
29,0.110072292,0.0133599,0.848902853,0.009068383,0.00738243,0.011214142,Germany
30,0.150715072,0.020750351,0.800311066,0.00880088,0.00880088,0.010621752,Japan
